Date,Open,High,Low,Close*,Adj Close**,Volume
16-Feb-22,4455.75,4489.55,4429.68,4475.01,4475.01,3478750000.00
15-Feb-22,4429.28,4472.77,4429.28,4471.07,4471.07,3363200000.00
14-Feb-22,4412.61,4426.22,4364.84,4401.67,4401.67,3466170000.00
11-Feb-22,4506.27,4526.33,4401.41,4418.64,4418.64,4164960000.00
10-Feb-22,4553.24,4588.92,4484.31,4504.08,4504.08,4490500000.00
9-Feb-22,4547.00,4590.03,4547.00,4587.18,4587.18,3662810000.00
8-Feb-22,4480.02,4531.32,4465.40,4521.54,4521.54,3509330000.00
7-Feb-22,4505.75,4521.86,4471.47,4483.87,4483.87,3291600000.00
4-Feb-22,4482.79,4539.66,4451.50,4500.53,4500.53,3673700000.00
3-Feb-22,4535.41,4542.88,4470.39,4477.44,4477.44,3596830000.00
2-Feb-22,4566.39,4595.31,4544.32,4589.38,4589.38,3777170000.00
1-Feb-22,4519.57,4550.49,4483.53,4546.54,4546.54,3796450000.00
31-Jan-22,4431.79,4516.89,4414.02,4515.55,4515.55,4001950000.00
28-Jan-22,4336.19,4432.72,4292.46,4431.85,4431.85,3936030000.00
27-Jan-22,4380.58,4428.74,4309.50,4326.51,4326.51,4074330000.00
26-Jan-22,4408.43,4453.23,4304.80,4349.93,4349.93,4046270000.00
25-Jan-22,4366.64,4411.01,4287.11,4356.45,4356.45,3989420000.00
24-Jan-22,4356.32,4417.35,4222.62,4410.13,4410.13,5172540000.00
21-Jan-22,4471.38,4494.52,4395.34,4397.94,4397.94,3945810000.00
20-Jan-22,4547.35,4602.11,4477.95,4482.73,4482.73,3473060000.00
19-Jan-22,4588.03,4611.55,4530.20,4532.76,4532.76,3387370000.00
18-Jan-22,4632.24,4632.24,4568.70,4577.11,4577.11,3324960000.00
14-Jan-22,4637.99,4665.13,4614.75,4662.85,4662.85,3483530000.00
13-Jan-22,4733.56,4744.13,4650.29,4659.03,4659.03,3539830000.00
12-Jan-22,4728.59,4748.83,4706.71,4726.35,4726.35,3060040000.00
11-Jan-22,4669.14,4714.13,4638.27,4713.07,4713.07,3421600000.00
10-Jan-22,4655.34,4673.02,4582.24,4670.29,4670.29,3621800000.00
7-Jan-22,4697.66,4707.95,4662.74,4677.03,4677.03,3279870000.00
6-Jan-22,4693.39,4725.01,4671.26,4696.05,4696.05,3371250000.00
5-Jan-22,4787.99,4797.70,4699.44,4700.58,4700.58,3733540000.00
4-Jan-22,4804.51,4818.62,4774.27,4793.54,4793.54,3641050000.00
3-Jan-22,4778.14,4796.64,4758.17,4796.56,4796.56,2775190000.00
31-Dec-21,4775.21,4786.83,4765.75,4766.18,4766.18,2446190000.00
30-Dec-21,4794.23,4808.93,4775.33,4778.73,4778.73,2390990000.00
29-Dec-21,4788.64,4804.06,4778.08,4793.06,4793.06,2369370000.00
28-Dec-21,4795.49,4807.02,4780.04,4786.35,4786.35,2217050000.00
27-Dec-21,4733.99,4791.49,4733.99,4791.19,4791.19,2264120000.00
23-Dec-21,4703.96,4740.74,4703.96,4725.79,4725.79,2194630000.00
22-Dec-21,4650.36,4697.67,4645.53,4696.56,4696.56,2439570000.00
21-Dec-21,4594.96,4651.14,4583.16,4649.23,4649.23,2564370000.00
20-Dec-21,4587.90,4587.90,4531.10,4568.02,4568.02,3395780000.00
17-Dec-21,4652.50,4666.70,4600.22,4620.64,4620.64,5609780000.00
16-Dec-21,4719.13,4731.99,4651.89,4668.67,4668.67,3592810000.00
15-Dec-21,4636.46,4712.60,4611.22,4709.85,4709.85,3367580000.00
14-Dec-21,4642.99,4660.47,4606.52,4634.09,4634.09,3292740000.00
13-Dec-21,4710.30,4710.30,4667.60,4668.97,4668.97,3322050000.00
10-Dec-21,4687.64,4713.57,4670.24,4712.02,4712.02,2858310000.00
9-Dec-21,4691.00,4695.26,4665.98,4667.45,4667.45,2851660000.00
8-Dec-21,4690.86,4705.06,4674.52,4701.21,4701.21,3061550000.00
7-Dec-21,4631.97,4694.04,4631.97,4686.75,4686.75,3334320000.00
6-Dec-21,4548.37,4612.60,4540.51,4591.67,4591.67,3305690000.00
3-Dec-21,4589.49,4608.03,4495.12,4538.43,4538.43,3971500000.00
2-Dec-21,4504.73,4595.46,4504.73,4577.10,4577.10,3771510000.00
1-Dec-21,4602.82,4652.94,4510.27,4513.04,4513.04,4078260000.00
30-Nov-21,4640.25,4646.02,4560.00,4567.00,4567.00,4950190000.00
29-Nov-21,4628.75,4672.95,4625.26,4655.27,4655.27,3471380000.00
26-Nov-21,4664.63,4664.63,4585.43,4594.62,4594.62,2676740000.00
24-Nov-21,4675.78,4702.87,4659.89,4701.46,4701.46,2464040000.00
23-Nov-21,4678.48,4699.39,4652.66,4690.70,4690.70,3428780000.00
22-Nov-21,4712.00,4743.83,4682.17,4682.94,4682.94,3206280000.00
19-Nov-21,4708.44,4717.75,4694.22,4697.96,4697.96,3265600000.00
18-Nov-21,4700.72,4708.80,4672.78,4704.54,4704.54,3335620000.00
17-Nov-21,4701.50,4701.50,4684.41,4688.67,4688.67,3221250000.00
16-Nov-21,4679.42,4714.95,4679.42,4700.90,4700.90,2838210000.00
15-Nov-21,4689.30,4697.42,4672.86,4682.80,4682.80,2618980000.00
12-Nov-21,4655.24,4688.47,4650.77,4682.85,4682.85,2865790000.00
11-Nov-21,4659.39,4664.55,4648.31,4649.27,4649.27,2623140000.00
10-Nov-21,4670.26,4684.85,4630.86,4646.71,4646.71,3581630000.00
9-Nov-21,4707.25,4708.53,4670.87,4685.25,4685.25,3110230000.00
8-Nov-21,4701.48,4714.92,4694.39,4701.70,4701.70,3465720000.00
5-Nov-21,4699.26,4718.50,4681.32,4697.53,4697.53,3491150000.00
4-Nov-21,4662.93,4683.00,4662.59,4680.06,4680.06,3332940000.00
3-Nov-21,4630.65,4663.46,4621.19,4660.57,4660.57,3339440000.00
2-Nov-21,4613.34,4635.15,4613.34,4630.65,4630.65,3309690000.00
1-Nov-21,4610.62,4620.34,4595.06,4613.67,4613.67,2924000000.00
29-Oct-21,4572.87,4608.08,4567.59,4605.38,4605.38,3632260000.00
28-Oct-21,4562.84,4597.55,4562.84,4596.42,4596.42,3197560000.00
27-Oct-21,4580.22,4584.57,4551.66,4551.68,4551.68,3259510000.00
26-Oct-21,4578.69,4598.53,4569.17,4574.79,4574.79,2866500000.00
25-Oct-21,4553.69,4572.62,4537.36,4566.48,4566.48,3250210000.00
22-Oct-21,4546.12,4559.67,4524.00,4544.90,4544.90,3062810000.00
21-Oct-21,4532.24,4551.44,4526.89,4549.78,4549.78,3016950000.00
20-Oct-21,4524.42,4540.87,4524.40,4536.19,4536.19,2671560000.00
19-Oct-21,4497.34,4520.40,4496.41,4519.63,4519.63,2531210000.00
18-Oct-21,4463.72,4488.75,4447.47,4486.46,4486.46,2683540000.00
15-Oct-21,4447.69,4475.82,4447.69,4471.37,4471.37,3000560000.00
14-Oct-21,4386.75,4439.73,4386.75,4438.26,4438.26,2642920000.00
13-Oct-21,4358.01,4372.87,4329.92,4363.80,4363.80,2926460000.00
12-Oct-21,4368.31,4374.89,4342.09,4350.65,4350.65,2608150000.00
11-Oct-21,4385.44,4415.88,4360.59,4361.19,4361.19,2580000000.00
8-Oct-21,4406.51,4412.02,4386.22,4391.34,4391.34,2401890000.00
7-Oct-21,4383.73,4429.97,4383.73,4399.76,4399.76,3096080000.00
6-Oct-21,4319.57,4365.57,4290.49,4363.55,4363.55,3219590000.00
5-Oct-21,4309.87,4369.23,4309.87,4345.72,4345.72,2967400000.00
4-Oct-21,4348.84,4355.51,4278.94,4300.46,4300.46,3110560000.00
1-Oct-21,4317.16,4375.19,4288.52,4357.04,4357.04,3148980000.00
30-Sep-21,4370.67,4382.55,4306.24,4307.54,4307.54,3123770000.00
29-Sep-21,4362.41,4385.57,4355.08,4359.46,4359.46,2753800000.00
28-Sep-21,4419.54,4419.54,4346.33,4352.63,4352.63,3495970000.00
27-Sep-21,4442.12,4457.30,4436.19,4443.11,4443.11,3032870000.00
24-Sep-21,4438.04,4463.12,4430.27,4455.48,4455.48,2772090000.00
23-Sep-21,4406.75,4465.40,4406.75,4448.98,4448.98,2833290000.00
22-Sep-21,4367.43,4416.75,4367.43,4395.64,4395.64,3273670000.00
21-Sep-21,4374.45,4394.87,4347.96,4354.19,4354.19,3044300000.00
20-Sep-21,4402.95,4402.95,4305.91,4357.73,4357.73,3773680000.00
17-Sep-21,4469.74,4471.52,4427.76,4432.99,4432.99,5622210000.00
16-Sep-21,4477.09,4485.87,4443.80,4473.75,4473.75,3321030000.00
15-Sep-21,4447.49,4486.87,4438.37,4480.70,4480.70,3154760000.00
